image,incorrect,correct
test0.png,ибо,ибо
test1.png,осталось,осталось
test10.png,поле,поле
test100.png,Оптическое,Оптическое
test1000.png,1 класса,1 класса
test1001.png,г. Ульяновск,г. Ульяновск
test1002.png,На место,На место
test1003.png,паспорт,паспорт
test1004.png,назначения,назначение
test1005.png,отправление,отправление
test1006.png,было только,было только
test1007.png,6.10.2017г.,6.10.2017г.
test1008.png,просрочив все сроки,просрочив все сроки
test1009.png,которые для,которые для
test101.png,тогда,тогда
test1010.png,отправления были,отправления были
test1011.png,критичны.,критичны.
test1012.png,Просьба разобраться,Просьба разобраться
test1014.png,30.08.2004,30. 08. 2004
test1015.png,дов обратную,дав обратную
test1016.png,связь,связь
test1017.png,а также,а также
test1018.png,которые были,которые были
test1019.png,оплачены за,оплачены за
test102.png,способ,способ
test1020.png,1 классу,1 класса
test1021.png,Данные по,Данные по
test1023.png,Ксерокопия,Ксерокопия
test1024.png,приложена,приложена
test1025.png,выдом обр,выдан ОВД
test1026.png,заявлению,заявлению
test1027.png,Контакты для,Контакты для
test1028.png,Ания Сергеевич,Анна Сергеевна
test1029.png,7.10.2017г.,7.10.2017 г.
test103.png,куольник,угольник
test1030.png,Расписка,Расписка
test1031.png,10 июня 2016г.,10 июня 2016г.
test1032.png,. Сомкт- нетербузы,г. Санкт-петербург
test1033.png,Иванов гевол,Иванов Иван
test1034.png,15.02.1987г.,15.02.1987г.
test1035.png,рождения,рождения
test1036.png,12.10.2005,17.10.2005
test1037.png,распорт серея,паспорт серия
test1039.png,18.03.2007г.,18.03.2007 г
test104.png,Множество,Множество
test1040.png,по адресу,по адресу
test1041.png,деньи,деньги
test1042.png,рублей,рублей
test1043.png,18.04.1980,18.04.1980
test1044.png,"полнот серия,",паспорт серия
test1045.png,зареметривован,зарегистрирован
test1046.png,"г, Севоевак,",г. Севаевск
test1047.png,дележную сумму,денежную сумму
test1048.png,ул левина,ул. Ленина
test1049.png,"вышеуказаньную,",вышеуказанную
test105.png,Касательная,Касательная
test1050.png,рублей,рублей
test1051.png,Иванов М.И.,Иванов И.И.
test1052.png,28.11.11,28.11.11
test1053.png,14 лег,14мг
test1054.png,Плоскотожи,Плоскостопие
test1055.png,обеих,обеих
test1056.png,Киров,Киров
test1057.png,ноября 2016,ноября 2016
test1058.png,в размере 534 000,в размере 334 000
test1059.png,Васин,Вагин
test106.png,Рассмотрим,Рассмотрим
test1060.png,ОВД Южного,ОВД Юшного
test1061.png,25.06.2005,25.06.2005.
test1063.png,Логикин Юрий,Ложкин Юрий
test1064.png,9404,94 04
test1065.png,547815,547815
test1066.png,ОВД р-на,ОВД р-на
test1067.png,16.08.2004г.,16.08.2004 г.
test1068.png,г. Киров,г. Киров
test1069.png,Тристы тридцать,триста тридцать
test107.png,Диресториальное,Директориальное
test1070.png,Шкода Фабия,Шкода Фабия
test1071.png,Паспорт,Паспорт
test1072.png,445 тысяч,445 тысяч
test1073.png,Три тысячи девяться,Три тысячи девятьсот
test1074.png,Доверенность,Доверенность
test1075.png,паспорт,паспорт
test1076.png,номер,номер
test1077.png,выдан,выдан
test1078.png,отделением,отделением
test1079.png,по району,по району
test108.png,Событие,Событие
test1080.png,рублей,рублей
test1081.png,Москве,Москве
test1082.png,код подразделения,код подразделения
test1083.png,проживаю,проживаю
test1084.png,по адресу,по адресу
test1085.png,квартира,квартира
test1086.png,доверяю получать,доверяю получать
test1088.png,приходящие,приходящие
test1089.png,на моё ммя,на моё имя
test109.png,любое,любое
test1090.png,по адресу,по адресу
test1091.png,в колестве задатна,в качестве задатка
test1094.png,выдан,выдан
test1095.png,ОВД района,ОВД района
test1097.png,под подразделения,под подразделения
test1098.png,проживающему,проживающему
test1099.png,по адресу,по адресу
test11.png,новое,новое
test110.png,вопрос,Вопрос
test1100.png,20.01.2016.,25. 01. 2016.
test1101.png,30.09.2013,30.09.2013
test1103.png,за автомобиль,за автомобиль
test1104.png,12.09.2013,12.09.2013
test1105.png,12.09.2013,12.09.2013
test1106.png,12.09.2013г.,12.09.2013г
test1107.png,12.09.2013г.,12.09.2013 г.
test1108.png,30.09.2013г.,30.09.2013г
test1109.png,12.09.201,12.09.2013
test111.png,Использование,Использование
test1110.png,За период практики,За период практики
test1111.png,Савгенко И.А.,Савченко И. А.
test1115.png,с составленным,с составленным
test1116.png,планом,Планом
test1117.png,На основе,На основе
test1118.png,модели,модели
test1119.png,процесса,процесса
test112.png,непустое,непустое
test1120.png,определены,определены
test1121.png,существующие,существующие
test1122.png,и предлогиены,и предложены
test1123.png,методы,методы
test1124.png,отлично,отлично
test1126.png,Раменко Д.А.,Фоменко В.А.
test1127.png,Савченко лев.,Савченко И.А.
test1128.png,хорошо,хорошо
test113.png,Метод,Метод:
test1130.png,отлично,отлично
test1131.png,Информационная,информационная
test1132.png,эндолеодинамического,эндогеодинамического
test1133.png,описание,описание
test1137.png,на предприятий,на предприятий
test1138.png,параметра,параметра
test1139.png,Формирование,Формирование
test114.png,значения,значения
test1140.png,инбор,выбор
test1141.png,аргументам,аргументам
test1142.png,Выбор технологий,выбор технологий
test1143.png,Дасписка,Расписка.
test1144.png,23 марта 2018г.,23 марта 2012г.
test1145.png,2. Санкт. Потероду,г. Санкт-Петербург
test1146.png,Бугрова,Бугрова
test1147.png,сумму в срок,сумму в срок
test115.png,Кривые,Кривые
test1150.png,22.07.2010г.,22. 07. 2010
test1152.png,Санкт. Бетертург,Санкт-Петербург
test1153.png,пр. Просвещение,пр Просвещения
test1154.png,паспорт,паспорт
