image,incorrect,correct
901.jpg,вѣдомость,въдомостъ
901.jpg,ОБЪ,объ
901.jpg,ИНОВѢРЦАХЪ,иновърцахъ
901.jpg,ВЪ,въ
901.jpg,ЕНИСЕЙСКОЙ,енисейской
901.jpg,ГУБЕРНIИ.,ГУБЕРШИ.
901.jpg,34 1886 годъ.,за 1886 годъ
901.jpg,Христiанъ.,Христанъ
901.jpg,Не,Не
901.jpg,"христiанъ,","хрiстанъ,"
901.jpg,Римско-Ка,Римско-Ка
901.jpg,Лютеран-,Лютеран-
901.jpg,Мусульман-,Мусульман-
901.jpg,Идоло-по-,Идоло-по-
901.jpg,ЗВАНiЕ,званiе
901.jpg,ОКРУГОВЪ.,округовъ
901.jpg,го,го
901.jpg,толическа,толическа
901.jpg,исповѣ-,исповъ-
901.jpg,ско-,ско-
901.jpg,матскаго.,матскаго.
901.jpg,Рефор-,Рефор-
901.jpg,скаго.,скаго.
901.jpg,клонников.,клонников
901.jpg,Евреевъ.,Евреевъ
901.jpg,данiя.,данiя.
901.jpg,Муж.,Муж.
901.jpg,Жен.,Жен.
901.jpg,Муж.,Муж.
901.jpg,Жен.,Жен.
901.jpg,Муж.,Муж.
901.jpg,Жен.,Жен.
901.jpg,Муж,Муж
901.jpg,Жен.,Жен.
901.jpg,Муж.,Муж.
901.jpg,Жен.,Жен.
901.jpg,Въ Красноярскѣ,Въ Красноярскѣ
901.jpg,320.,320
901.jpg,157.,157
901.jpg,24.,24
901.jpg,24.,24
901.jpg,41.,41
901.jpg,20.,20
901.jpg,292,292
901.jpg,267.,267
901.jpg,округѣ онаго,округѣ онаго
901.jpg,445.,445
901.jpg,90.,90
901.jpg,129.,129
901.jpg,73.,73
901.jpg,129.,129
901.jpg,57.,57
901.jpg,163.,163
901.jpg,135,135
901.jpg,Енисейскѣ,Енисейскъ
901.jpg,126.,126
901.jpg,23.,23
901.jpg,4.,4
901.jpg,2,2
901.jpg,22,22
901.jpg,9.,9
901.jpg,147.,147
901.jpg,130.,130
901.jpg,округѣ онаго,округѣ онаго
901.jpg,145.,145
901.jpg,15.,15
901.jpg,16.,16
901.jpg,3.,3
901.jpg,61,61
901.jpg,2.,2
901.jpg,440.,440
901.jpg,340.,340
901.jpg,100.,100
901.jpg,89.,89
901.jpg,Ачинскѣ,Ачинскѣ
901.jpg,35.,35
901.jpg,5.,5
901.jpg,10.,10
901.jpg,4.,4
901.jpg,9.,9
901.jpg,3.,3
901.jpg,67,67
901.jpg,69.,69
901.jpg,округѣ онаго,округѣ онаго
901.jpg,514.,514
901.jpg,34.,34
901.jpg,9.,9
901.jpg,87,87
901.jpg,22.,22
901.jpg,74.,74
901.jpg,66.,66
901.jpg,Канскѣ,Канскѣ
901.jpg,80.,80
901.jpg,27,27
901.jpg,9.,9
901.jpg,7.,7
901.jpg,1.,1
901.jpg,1.,1
901.jpg,78,78
901.jpg,72,72
901.jpg,округѣ онаго,округѣ онаго
901.jpg,1474.,1474
901.jpg,112.,112
901.jpg,84.,84
901.jpg,12,12
901.jpg,158,158
901.jpg,34.,34
901.jpg,102.,102
901.jpg,62,62
901.jpg,Минусинскѣ,Минрусинскѣ
901.jpg,151.,151
901.jpg,25.,25
901.jpg,1,1
901.jpg,2,2
901.jpg,6.,6
901.jpg,6.,6
901.jpg,округѣ онаго,округѣ онаго
901.jpg,1261,1261
901.jpg,167.,167
901.jpg,1025,1025
901.jpg,317.,317
901.jpg,22,22
901.jpg,14.,14
901.jpg,2589,2589
901.jpg,2607.,2607
901.jpg,47.,47
901.jpg,43.,43
901.jpg,Туруханскомъ,Туруханскъ
901.jpg,Отдѣльномъ,Отд]льномъ
901.jpg,Управленiи,Управленiи
901.jpg,2,2
901.jpg,1179.,1179
901.jpg,1047,1047.
901.jpg,Итого,Итого
901.jpg,по всей,по всей
901.jpg,губернiи,губернiи
901.jpg,4553.,4553.
901.jpg,655,655.
901.jpg,1311,1311.
901.jpg,444.,444.
901.jpg,530.,530.
901.jpg,156.,156.
901.jpg,4208.,4208
901.jpg,3994,3994.
901.jpg,1076,1076.
901.jpg,939.,939.
901.jpg,Примѣчанiе:,Примечанiе
901.jpg,Сверхъ,Сверхъ
901.jpg,того,того
901.jpg,въ Троицкомъ,въ Троицкомъ
901.jpg,Солева-,Солева-
901.jpg,ренномъ,ренномъ
901.jpg,заводѣ,заводъ
901.jpg,и,и
901.jpg,на частныхъ,на частныхъ
901.jpg,золо-,золо-
901.jpg,тыхъ,тыхъ
901.jpg,промыслахъ.,промыслахъ
12329.jpg,2858078,25 3807
12329.jpg,"10832""",10838
12329.jpg,4.,4.
12329.jpg,15,15
12329.jpg,недомщика,недощика
12329.jpg,18698,18678
12329.jpg,[л'],ай
12329.jpg,округѣ,округо
12329.jpg,(,(
12329.jpg,Его,до
12329.jpg,31 1/2,31/2
12329.jpg,твее.,тые.
12329.jpg,четверть,четверть
12329.jpg,хлѣбопенество,хлебопешество
12329.jpg,огреничено,"ограничено,"
12329.jpg,уро-,уро-
12329.jpg,жет,мал
12329.jpg,1госредственны,посредственны
12329.jpg,и,И
12329.jpg,полу-,полу-
12329.jpg,часемый,чаемый
12329.jpg,хлѣбъ,хлбъ
12329.jpg,отъ,отъ
12329.jpg,отихъ,отихъ
12329.jpg,урожаевъ,урожневъ
12329.jpg,нфобетическаго,необитичнымъ
12329.jpg,населенiя,населения
12329.jpg,опериги,округи
12329.jpg,собственнымъ,собственнымъ
12329.jpg,"хлѣдомъ,","хлъдомъ,"
12329.jpg,оказывается,оказывается
12329.jpg,зна-,зна-
12329.jpg,чительная,чительная
12329.jpg,"подолнка,","подоимка,"
12329.jpg,котодую,которую
12329.jpg,Население,население
12329.jpg,едва,еден
12329.jpg,ли,ли
12329.jpg,будетъ,будеть
12329.jpg,въ,во
12329.jpg,состояние,состояние
12329.jpg,погенить,погажить
12329.jpg,Хлѣба,Хмба
12329.jpg,озимаго,озимаю
12329.jpg,осенью,осенью
12329.jpg,1809,1809
12329.jpg,года,года
12329.jpg,и,и
12329.jpg,яроваго,ярового
12329.jpg,весною,в есного
12329.jpg,1847 года,1897 года
12329.jpg,посѣяна,посъяна
12329.jpg,571201,571.201
12329.jpg,562856,562856
12329.jpg,четъ,чет
12329.jpg,болье,болзе
12329.jpg,прожитего,прогистого
12329.jpg,8442,8445
12329.jpg,1899,1896
12329.jpg,годел,года
12329.jpg,на,на
12329.jpg,62151,62151
12329.jpg,чет,чет
12329.jpg,и,и
12329.jpg,2538070,2538070
12329.jpg,108341,108381
12329.jpg,снято,снято
12329.jpg,2646451,2646451
12329.jpg,чет.,чет.
12329.jpg,на,нег
12329.jpg,483073,483073
12329.jpg,Именья,шения
12329.jpg,чет,чет
12329.jpg,Домы,Домье
12329.jpg,1899,1899
12329.jpg,годы,годы
12329.jpg,13ъ,136
12329.jpg,числѣ,чисть
12329.jpg,полученного,полученного
12329.jpg,уро,уро
12329.jpg,жел,жел
12329.jpg,деключенность,заключилось
12329.jpg,рыш,рыш
12329.jpg,о этмой,о зимой
12329.jpg,"41,503",417503
12329.jpg,552372,552372
12329.jpg,367832,367832
12329.jpg,"чет.,","чет.,"
12329.jpg,ярты,ярицы
12329.jpg,644272,644272
12329.jpg,чет.,чет.
12329.jpg,569699,569:619
12329.jpg,рженины,применицы
12329.jpg,586341,586341
12329.jpg,"чет.,","чет.,"
12329.jpg,ямменя,ягменя
12329.jpg,1162560,1162560
12329.jpg,843023,843023
12329.jpg,131460,131460
12329.jpg,"чет.,","чет.,"
12329.jpg,о все,о в сл
12329.jpg,87838929,"878783 гд, гре-"
12329.jpg,28.119,22.119
12329.jpg,чихи,чихи
12329.jpg,24972,24972
12329.jpg,чет.,чет.
12329.jpg,останного,одельных
1061.jpg,34,14
1061.jpg,Абаканскiй,Абаканскiй
1061.jpg,"желѣзодѣлательный,","желѣзодѣлательный,"
1061.jpg,чугуно-литейный,тугуно-литейный
1061.jpg,и,и
1061.jpg,стальной,стальной
1061.jpg,заводъ,заводъ
1061.jpg,припад-,припад-
1061.jpg,лежитъ,лежить
1061.jpg,отставному,отставному
1061.jpg,чиновнику,чиновнику
1061.jpg,Пермикину,Пермикину
1061.jpg,и,и
1061.jpg,находится,находится
1061.jpg,въ,въ
1061.jpg,Минусинскомъ,Мипусинскомъ
1061.jpg,округѣ.,округѣ
1061.jpg,Отъ,Отъ
1061.jpg,казны,казны
1061.jpg,имѣетъ,имѣетъ
1061.jpg,пособiе,пособiе
1061.jpg,въ,въ
1061.jpg,земляхъ,земляхъ
1061.jpg,и,и
1061.jpg,"лѣсахъ,","лѣсахъ,"
1061.jpg,въ,въ
1061.jpg,Количествѣ,количествм
1061.jpg,118995,118995
1061.jpg,десятинъ,десятинъ
1061.jpg,2398,2398
1061.jpg,саж.,саж.
1061.jpg,Кромѣ,Кромѣ
1061.jpg,"того,","того,"
1061.jpg,заводъ,заводъ
1061.jpg,прiобрѣлъ,прiобрѣль
1061.jpg,покупкою,покупкою
1061.jpg,отъ,отъ
1061.jpg,казны,казны
1061.jpg,землю,землю
1061.jpg,подъ,подъ
1061.jpg,завод-,завод-
1061.jpg,скiя,скiя
