image,incorrect,correct
images_group_62_9074_3718.png,его,Его
images_group_62_9074_3720.png,Воличеству.,Величеству.
images_group_62_9074_3721.png,Енисейскаго,Енисейского
images_group_62_9074_3722.png,Губернатора,Губернатора.
images_group_62_9074_3724.png,Всеподданнѣйше,Всеподданными
images_group_62_9074_3725.png,допосъ,донося
images_group_62_9074_3739.png,"благопосично,","благопослучно,"
images_group_62_9074_3743.png,усмотрѣніе,усмотреніе
images_group_62_9074_3753.png,Подписалъ:,Подписанъ:
images_group_62_9074_3760.png,день,для
images_group_62_909_5798.png,состоить,состоитъ
images_group_62_909_5824.png,Маіоръ,Маіoръ
images_group_62_909_5831.png,по-,по
images_group_62_909_5837.png,4-мъ Мужскимъ,4-мъ Мучинскимъ
images_group_62_909_5840.png,Изъяс-,Именъ
images_group_62_9096_6755.png,Iотя,Хотя
images_group_62_9096_6759.png,надо-,неудо-
images_group_62_9096_6763.png,затруденіе,затруденіи
images_group_62_9096_6766.png,обизначенія,обезпеченія
images_group_62_9096_6768.png,продовольствіемъ,"продовольствія,"
images_group_62_9096_6770.png,сѣменамъ,съменамъ
images_group_62_9096_6771.png,на носъ,на посъ
images_group_62_9096_6786.png,"округѣ,",округъ
images_group_62_9096_6804.png,недоститковъ,недостатокъ
images_group_62_9096_6810.png,дейтели,деятели
images_group_62_9096_6812.png,удовлестворить,удовлетворить
images_group_62_9096_6813.png,займомъ,займощь
images_group_62_9096_6818.png,"магариновъ,","магазиновъ,"
images_group_62_9096_6819.png,въ,и
images_group_62_9096_6829.png,264898 го.,264398 го
images_group_62_9096_6830.png,повертей;,твертей;
images_group_62_9096_6834.png,рабково,работа
images_group_62_9096_6838.png,извозомъ,изводомъ
images_group_62_9096_6844.png,"зверей,","звѣрей,"
images_group_62_9096_6854.png,по-,Не-
images_group_62_9096_6866.png,талами:,талами
images_group_62_9096_6867.png,"а.,","а,"
images_group_62_9096_6868.png,губернскимъ,губернаторъ
images_group_62_9096_6874.png,въ обращеніе,въ обращеніи
images_group_62_9096_6875.png,вы,въ
images_group_62_9096_6876.png,государствен-,Государствен-
images_group_62_9096_6877.png,намъ,номъ
images_group_62_9096_6883.png,794 руб,7174 руб
images_group_62_9096_6886.png,крестьян,крестьян-
images_group_62_9096_6887.png,"снимъ,","скимъ,"
images_group_62_9096_6889.png,Тунгуской,Тунгузской
images_group_62_910_7882.png,1866 к,1866 г.
images_group_62_910_7893.png,благотворитель,благотворитель-
images_group_62_910_7894.png,благотвори-,благотвори
images_group_62_910_7895.png,съостатой,съ остаточ
images_group_62_910_7916.png,кредитным,кредитныя
images_group_62_910_7929.png,ит дѣленіи,отдѣленіи
images_group_62_910_7952.png,жаніе,маніе
images_group_62_910_7956.png,"О дежду,","Одежду,"
images_group_62_910_7959.png,"обувъ,",обувь.
images_group_62_910_7962.png,постройки,построики
images_group_62_910_7972.png,содержаніе,содержаніe
images_group_62_910_7975.png,"замедикагенты,","за медикаменты,"
images_group_62_910_7978.png,припасовъ-,припасовъ -
images_group_62_910_7983.png,кормбыхъ,кормвыхъ
images_group_62_910_7995.png,речаной,ржаной
images_group_62_910_7996.png,но продовольствіе,напродовольствіе
images_group_62_910_8003.png,Дѣл,дѣлъ
images_group_62_910_8014.png,Генералъ-,Генералъ-е
images_group_62_910_8016.png,Старифического,Статистического
images_group_62_910_8020.png,Чиня Съ,Имя Сев
images_group_62_9122_8936.png,дѣвкѣ нумеров,дѣкѣ ну меров
images_group_62_9122_8938.png,потод,пятьд
images_group_62_9122_8939.png,мячь,сятъ
images_group_62_9122_8941.png,"Вѣрна М.,",Вѣрно Н.д.
images_group_62_908_15058.png,Обора,Сбора
images_group_62_908_15067.png,капитала,Капитала
