image,incorrect,correct
test1004.png,назначения,назначение
test1014.png,30.08.2004,30. 08. 2004
test1015.png,дов обратную,дав обратную
test1020.png,1 классу,1 класса
test1025.png,выдом обр,выдан ОВД
test1028.png,Ания Сергеевич,Анна Сергеевна
test1029.png,7.10.2017г.,7.10.2017 г.
test103.png,куольник,угольник
test1032.png,. Сомкт- нетербузы,г. Санкт-петербург
test1033.png,Иванов гевол,Иванов Иван
test1036.png,12.10.2005,17.10.2005
test1037.png,распорт серея,паспорт серия
test1039.png,18.03.2007г.,18.03.2007 г
test1041.png,деньи,деньги
test1044.png,"полнот серия,",паспорт серия
test1045.png,зареметривован,зарегистрирован
test1046.png,"г, Севоевак,",г. Севаевск
test1047.png,дележную сумму,денежную сумму
test1048.png,ул левина,ул. Ленина
test1049.png,"вышеуказаньную,",вышеуказанную
test1051.png,Иванов М.И.,Иванов И.И.
test1053.png,14 лег,14мг
test1054.png,Плоскотожи,Плоскостопие
test1058.png,в размере 534 000,в размере 334 000
test1059.png,Васин,Вагин
test1060.png,ОВД Южного,ОВД Юшного
test1061.png,25.06.2005,25.06.2005.
test1063.png,Логикин Юрий,Ложкин Юрий
test1064.png,9404,94 04
test1067.png,16.08.2004г.,16.08.2004 г.
test1069.png,Тристы тридцать,триста тридцать
test107.png,Диресториальное,Директориальное
test1073.png,Три тысячи девяться,Три тысячи девятьсот
test1089.png,на моё ммя,на моё имя
test1091.png,в колестве задатна,в качестве задатка
test110.png,вопрос,Вопрос
test1100.png,20.01.2016.,25. 01. 2016.
test1106.png,12.09.2013г.,12.09.2013г
test1107.png,12.09.2013г.,12.09.2013 г.
test1108.png,30.09.2013г.,30.09.2013г
test1109.png,12.09.201,12.09.2013
test1111.png,Савгенко И.А.,Савченко И. А.
test1116.png,планом,Планом
test1122.png,и предлогиены,и предложены
test1126.png,Раменко Д.А.,Фоменко В.А.
test1127.png,Савченко лев.,Савченко И.А.
test113.png,Метод,Метод:
test1131.png,Информационная,информационная
test1132.png,эндолеодинамического,эндогеодинамического
test1140.png,инбор,выбор
test1142.png,Выбор технологий,выбор технологий
test1143.png,Дасписка,Расписка.
test1144.png,23 марта 2018г.,23 марта 2012г.
test1145.png,2. Санкт. Потероду,г. Санкт-Петербург
test1150.png,22.07.2010г.,22. 07. 2010
test1152.png,Санкт. Бетертург,Санкт-Петербург
test1153.png,пр. Просвещение,пр Просвещения
test1156.png,выдал,выдан
test1158.png,до 50 моны вовд гла,до 30 июня 2009 года
test1159.png,Салкт-Бемертурга,Санкт - Петербурга
test1160.png,14.12.2003г.,14. 12. 2003г
test1162.png,Сами - болерут,Санкт - Петербург
test1165.png,рутяет в счет,рублей в счет
test1166.png,стоимости кваржирн,стоимости квартиры
test1168.png,аресу,адресу
test1169.png,54 июля 2009г.,24 июня 2009 г.
test1170.png,Самки - Бемертур,Санкт-Петербург
test1171.png,по заговору,по договору
test1172.png,Претегией не имею,Претензий не имею.
test1174.png,Бугрово В.2.,Бугрова В.Г.
test1176.png,04.01.1992г.,04. 01. 1992 г.
test1178.png,по оказанию,содействие
test1181.png,в самм увеличения,в части увеличения
test1183.png,г. Иргутск,г. Иркутск
test1184.png,одинадцатого,одиннадцатого
test1187.png,Мамедов. Р.Г.,Мамедов.Р.Г.
test1188.png,Мустафаева Р.И.,Мустафаева Ф. М
test1189.png,Максимов Р.Н.,Максимов Р. Н
test1190.png,Момедов Д. Х,Мамедов Д. Х
test1192.png,Молядова А.Э,Момедова А.Э.
test1193.png,Мамаоов А р,Мамедов А Г
test1194.png,"Ахьяева О.А.,",Яхьяева Э.А.
test1195.png,"Яхьяев, м я",Яхьев М Я
test1196.png,Юзбекова С.Б.,Розбекова С. Б.
test1198.png,Наталь,Наталью
test1199.png,Заявление,Заявление.
test120.png,покалыся,покажем
test1202.png,гор Омек,гор Омск
test1204.png,адволатов,адвокатов
test1207.png,Вас щьять дело,Вас изьять дело
test1209.png,Тночевой,Ткачевой
test1210.png,г. Дарнаула,г. Барнаула
test1211.png,Железнодорожного,железнодорожного
test1214.png,комская обл.,Омская обл.
test1216.png,Савселова,Савилова
test1218.png,Шатолова,Шаталова
test1220.png,Нашалья Константиновна,Наталья Константинова
test1221.png,проходила практику,проходила практика
test1225.png,в брикё,в браке
test1226.png,летоу,МБОУ
test1227.png,лицей.,лицей
test123.png,дома,дама
test1230.png,студентску удалось,студентке удалось
test1236.png,иван,Ивановы
test1239.png,психологически,психологическим
test1249.png,коллестива,коллектива
test1251.png,воспитателеных,воспитательных
test1256.png,в качестве,В качестве
test1257.png,Студентка,студентка
test1258.png,сталикал обл,Онинская обл
test1259.png,с угащимися,с учащимся
test1268.png,знакомилась,с правилами
test1269.png,участностических посолюдаро,ул Ленина 11
test1270.png,догументации,документации
test1275.png,Заречнева Е.В.,Заречнева Е.Н
test1276.png,Савилова И.В,Савилова Н.В.
test1282.png,получи,получил
