row_id,token_before,token_after,before_text,after_text,gt_text
6,Всеподданнѣйше,Всеподданнѣйшій,Всеподданнѣйше,Всеподданнѣйшій,Всеподданными
20,"благопосично,","благопослучно,","благопосично,","благопослучно,","благопослучно,"
44,состоить,состоите,состоить,состоите,состоитъ
99,затруденіе,затруденіи,затруденіе,затруденіи,затруденіи
101,обизначенія,обозначенія,обизначенія,обозначенія,обезпеченія
132,недоститковъ,недостатковъ,недоститковъ,недостатковъ,недостатокъ
137,дейтели,дейтеріи,дейтели,дейтеріи,деятели
139,удовлестворить,удовлетворить,удовлестворить,удовлетворить,удовлетворить
145,"магариновъ,","маргариновъ,","магариновъ,","маргариновъ,","магазиновъ,"
157,повертей;,поверти;,повертей;,поверти;,твертей;
161,рабково,рабкоры,рабково,рабкоры,работа
207,"снимъ,","сникъ,","снимъ,","сникъ,","скимъ,"
252,кредитным,кредитнымъ,кредитным,кредитнымъ,кредитныя
318,кормбыхъ,кормвыхъ,кормбыхъ,кормвыхъ,кормвыхъ
355,нумеров,нумерова,дѣвкѣ нумеров,дѣвкѣ нумерова,дѣкѣ ну меров
360,Обора,Оборо,Обора,Оборо,Сбора
640,вродячи,вродяги,вродячи,вродяги,вродяги
668,сибиръ,сибирь,сибиръ,сибирь,Сибирь
695,открыти,открытии,открыти,открытии,открыто
710,литета,литера,литета,литера,митета
763,подрадчикомъ,подрядчикомъ,подрадчикомъ,подрядчикомъ,подрядчикамъ
767,окончина,окончила,окончина,окончила,окончена
787,заиключеніемъ,заисключеніемъ,заиключеніемъ,заисключеніемъ,за исключеніемъ
891,чискихъ,чистыхъ,чискихъ,чистыхъ,ческіхъ
897,бумму,буммъ,на бумму,на буммъ,на сумму
1012,всѣмѣ,всѣмъ,всѣмѣ,всѣмъ,всѣмъ
1047,капеп.,каперъ.,3 капеп.,3 каперъ.,3-й степ.
1050,медило,медико,медило,медико,медалью
1052,надпишью,надписью,надпишью,надписью,надписью
1099,судимихъ,судимыхъ,судимихъ,судимыхъ,судимыхъ
1107,взыкнанія,взысканія,взыкнанія,взысканія,взысканія
1167,золотопроснышленника,золотопромышленника,золотопроснышленника,золотопромышленника,золотопромышленника
1276,золотопромышленно,золотопромышленною,золотопромышленно,золотопромышленною,золотопромышленни
