number,value,datetime_start,datetime_complete,duration,params_corr_context_size,params_corr_gate_k,params_corr_min_rule_freq,params_corr_negative_ratio,params_corr_prob_threshold,params_gate_min_df,params_gate_ngram_range,params_gate_target_precision,user_attrs_acc_delta,user_attrs_applied,user_attrs_cer_delta,user_attrs_improved,user_attrs_precision,user_attrs_worsened,state
0,0.17210682492581603,2026-01-13 21:21:24.230666,2026-01-13 21:21:33.052261,0 days 00:00:08.821595,2,2.029652426497993,5,1.4034771705199693,0.22072493277010738,6,"(2, 3)",0.5674006087952933,-0.0054811585175957855,337.0,-0.0018604651162790753,58.0,0.17210682492581603,252.0,COMPLETE
1,0.19491525423728814,2026-01-13 21:21:33.053261,2026-01-13 21:21:42.555372,0 days 00:00:09.502111,3,4.1951277623832,9,2.009790992718012,0.32627838388354113,6,"(2, 3)",0.4811633295654151,-0.0029274369355341,118.0,-0.0006425317669623634,23.0,0.19491525423728814,90.0,COMPLETE
2,0.3333333333333333,2026-01-13 21:21:42.556373,2026-01-13 21:21:51.015204,0 days 00:00:08.458831,4,2.944888663044651,8,4.163131462416393,0.6464671123716557,2,"(1, 3)",0.655592752539323,0.0001245717844908789,57.0,-0.0001246703428434484,19.0,0.3333333333333333,32.0,COMPLETE
3,0.0,2026-01-13 21:21:51.015204,2026-01-13 21:21:59.808456,0 days 00:00:08.793252,3,4.661604001252847,10,4.572178642343931,0.2646283633621749,8,"(1, 3)",0.5592671549883029,,,,,,,COMPLETE
4,0.0,2026-01-13 21:21:59.809457,2026-01-13 21:22:11.343495,0 days 00:00:11.534038,2,7.9609869558576545,4,2.341908119625839,0.6951569339869191,10,"(1, 3)",0.40228309608414087,,,,,,,COMPLETE
5,0.0,2026-01-13 21:22:11.344495,2026-01-13 21:22:21.546457,0 days 00:00:10.201962,2,3.5065374317447597,6,3.53540997682462,0.5847713491953848,8,"(1, 3)",0.42374207602895414,,,,,,,COMPLETE
6,0.12000000000000002,2026-01-13 21:22:21.547457,2026-01-13 21:22:28.599740,0 days 00:00:07.052283,1,2.243372772116248,6,3.540276138230672,0.35000730341401143,2,"(1, 2)",0.553097335894817,-0.0001245717844907679,34.0,-0.00017262047470630731,6.0,0.17647058823529413,24.0,COMPLETE
7,0.0,2026-01-13 21:22:28.599740,2026-01-13 21:22:37.193506,0 days 00:00:08.593766,2,3.143750290107587,3,3.805548073683192,0.3536467202224148,7,"(2, 3)",0.572153592331498,,,,,,,COMPLETE
8,0.0,2026-01-13 21:22:37.194506,2026-01-13 21:22:46.600003,0 days 00:00:09.405497,1,9.670188892611105,9,4.316922972149131,0.46335886809438254,8,"(2, 3)",0.44676927515513437,,,,,,,COMPLETE
9,0.0,2026-01-13 21:22:46.600003,2026-01-13 21:22:52.868972,0 days 00:00:06.268969,1,4.800346530459171,4,3.5841451195398033,0.31892100013906816,5,"(2, 3)",0.889418543875452,,,,,,,COMPLETE
10,0.15999999999999998,2026-01-13 21:22:52.869972,2026-01-13 21:22:59.522823,0 days 00:00:06.652851,4,0.5709161375181062,8,2.65573153645885,0.7751466579657359,2,"(1, 2)",0.7477572859519843,0.0001245717844908789,29.0,-8.631023735315713e-05,8.0,0.27586206896551724,17.0,COMPLETE
11,0.22807017543859648,2026-01-13 21:22:59.522823,2026-01-13 21:23:07.565712,0 days 00:00:08.042889,4,6.7278116104363495,8,1.7229101744409854,0.5259306944075185,4,"(1, 3)",0.7074971127576758,-0.00031142946122697523,57.0,-0.0002972908175497488,13.0,0.22807017543859648,44.0,COMPLETE
12,0.1834862385321101,2026-01-13 21:23:07.565712,2026-01-13 21:23:15.092880,0 days 00:00:07.527168,4,6.567000066264694,8,1.0655019163196782,0.57504376126518,4,"(1, 3)",0.7149321477626092,-0.0007474307069448294,109.0,-0.0006233517142172143,20.0,0.1834862385321101,85.0,COMPLETE
13,0.19999999999999998,2026-01-13 21:23:15.093880,2026-01-13 21:23:23.530655,0 days 00:00:08.436775,4,6.346492382548594,7,1.7614843326581828,0.4797415615368404,3,"(1, 3)",0.696768876891506,-0.0003737153534724147,45.0,-0.0002109805801965986,10.0,0.2222222222222222,32.0,COMPLETE
14,0.0,2026-01-13 21:23:23.531654,2026-01-13 21:23:30.603076,0 days 00:00:07.071422,3,6.264698576259445,7,2.8740924491837436,0.6306342725447245,4,"(1, 3)",0.7883675380209948,,,,,,,COMPLETE
15,0.0,2026-01-13 21:23:30.603076,2026-01-13 21:23:39.150123,0 days 00:00:08.547047,4,8.717604838368906,10,4.835479213174772,0.700545158238065,3,"(1, 3)",0.6528499735496509,,,,,,,COMPLETE
16,0.0,2026-01-13 21:23:39.151124,2026-01-13 21:23:45.777907,0 days 00:00:06.626783,3,7.165539722737116,8,4.223295419952102,0.5261420454128326,4,"(1, 3)",0.8425034000219718,,,,,,,COMPLETE
17,0.0,2026-01-13 21:23:45.777907,2026-01-13 21:23:52.594984,0 days 00:00:06.817077,4,5.360861282437726,7,3.0300934369724715,0.4245505935245017,2,"(1, 2)",0.6319958200111822,,,,,,,COMPLETE
18,0.32275132275132273,2026-01-13 21:23:52.594984,2026-01-13 21:24:00.999638,0 days 00:00:08.404654,4,0.6282926259698103,9,2.1635529999002276,0.6422470989980293,3,"(1, 3)",0.6371683468811796,-0.0004982871379631826,189.0,-0.0005562215296092063,61.0,0.32275132275132273,119.0,COMPLETE
19,0.0,2026-01-13 21:24:01.000639,2026-01-13 21:24:10.057807,0 days 00:00:09.057168,3,0.5135862368939348,2,2.444125919709691,0.7569487115179712,3,"(1, 3)",0.6273897064467454,,,,,,,COMPLETE
