image,incorrect,correct
images_group_62_9074_3718.png,его,Его
images_group_62_9074_3719.png,Императорскому,Императорскому
images_group_62_9074_3720.png,Воличеству.,Величеству.
images_group_62_9074_3721.png,Енисейскаго,Енисейского
images_group_62_9074_3722.png,Губернатора,Губернатора.
images_group_62_9074_3723.png,Рапортъ,Рапортъ
images_group_62_9074_3724.png,Всеподданнѣйше,Всеподданными
images_group_62_9074_3725.png,допосъ,донося
images_group_62_9074_3726.png,Вашему,Вашему
images_group_62_9074_3727.png,Импе,Импе
images_group_62_9074_3728.png,раторскому,раторскому
images_group_62_9074_3729.png,"Величеству,","Величеству,"
images_group_62_9074_3730.png,что,что
images_group_62_9074_3731.png,во,во
images_group_62_9074_3733.png,ренной,ренной
images_group_62_9074_3734.png,управленію,управленію
images_group_62_9074_3735.png,моему,моему
images_group_62_9074_3736.png,губерніи,губерніи
images_group_62_9074_3737.png,все,все
images_group_62_9074_3738.png,состоитъ,состоитъ
images_group_62_9074_3739.png,"благопосично,","благопослучно,"
images_group_62_9074_3741.png,на,на
images_group_62_9074_3742.png,Высочайшее,Высочайшее
images_group_62_9074_3743.png,усмотрѣніе,усмотреніе
images_group_62_9074_3744.png,Ваше,Ваше
images_group_62_9074_3745.png,годовой,годовой
images_group_62_9074_3746.png,отчетъ,отчетъ
images_group_62_9074_3747.png,о,о
images_group_62_9074_3748.png,состояніи,состояніи
images_group_62_9074_3749.png,губерніи,губерніи
images_group_62_9074_3750.png,за,за
images_group_62_9074_3751.png,1883,1883
images_group_62_9074_3752.png,года,года
images_group_62_9074_3753.png,Подписалъ:,Подписанъ:
images_group_62_9074_3754.png,"Губернаторъ,","Губернаторъ,"
images_group_62_9074_3755.png,Генералъ,Генералъ
images_group_62_9074_3756.png,Лейтенантъ,Лейтенантъ
images_group_62_9074_3759.png,30,30
images_group_62_9074_3760.png,день,для
images_group_62_9074_3761.png,1884 года,1884 года
images_group_62_9074_3762.png,No216,No216
images_group_62_9074_3763.png,Красноярскъ,Красноярскъ
images_group_62_909_5796.png,Капиталъ,Капиталъ
images_group_62_909_5797.png,сей,сей
images_group_62_909_5798.png,состоить,состоитъ
images_group_62_909_5799.png,въ,въ
images_group_62_909_5800.png,распо-,распо-
images_group_62_909_5801.png,ряженіи,ряженіи
images_group_62_909_5802.png,Енисейскаго,Енисейскаго
images_group_62_909_5803.png,Губернскаго 1,Губернскаго 1
images_group_62_909_5804.png,Прав-,Прав-
images_group_62_909_5805.png,ленія,ленія
images_group_62_909_5806.png,и числится,и числится
images_group_62_909_5807.png,по,по
images_group_62_909_5808.png,счетамъ,счетамъ
images_group_62_909_5809.png,Казна,Казна
images_group_62_909_5810.png,чействъ,чействъ
images_group_62_909_5811.png,въ,въ
images_group_62_909_5812.png,партикулярныхъ,партикулярныхъ
images_group_62_909_5813.png,суммахъ,суммахъ
images_group_62_909_5814.png,сего,сего
images_group_62_909_5815.png,учрежденія,учрежденія
images_group_62_909_5816.png,Военный,Военный
images_group_62_909_5817.png,Губернаторъ г.,Губернаторъ г.
images_group_62_909_5818.png,Красноярска,Красноярска
images_group_62_909_5819.png,и,и
images_group_62_909_5820.png,Енисейскій,Енисейскій
images_group_62_909_5821.png,Гражданскій,Гражданскій
images_group_62_909_5822.png,Губернаторъ,Губернаторъ
images_group_62_909_5823.png,Генералъ-,Генералъ-
images_group_62_909_5824.png,Маіоръ,Маіoръ
images_group_62_909_5825.png,Вѣдомость,Вѣдомость
images_group_62_909_5826.png,"О приходѣ,","О приходѣ,"
images_group_62_909_5827.png,расходѣ,расходѣ
images_group_62_909_5828.png,и,и
images_group_62_909_5829.png,остаткѣ,остаткѣ
images_group_62_909_5830.png,суммъ,суммъ
images_group_62_909_5831.png,по-,по
images_group_62_909_5832.png,Красноярскому,Красноярскому
images_group_62_909_5833.png,Губернскому,Губернскому
images_group_62_909_5834.png,Тюремному,Тюремному
images_group_62_909_5835.png,Комитету,Комитету
images_group_62_909_5836.png,и,и
images_group_62_909_5837.png,4-мъ Мужскимъ,4-мъ Мучинскимъ
images_group_62_909_5838.png,отдѣленіямъ,отдѣленіямъ
images_group_62_909_5839.png,За 1866 годъ,За 1866 годъ
images_group_62_909_5840.png,Изъяс-,Именъ
images_group_62_909_5842.png,Стати,Стати
images_group_62_909_5845.png,Чиновникъ,Чиновникъ
images_group_62_909_5846.png,Особыхъ,Особыхъ
images_group_62_909_5847.png,Порученій,Порученій
images_group_62_9096_6755.png,Iотя,Хотя
images_group_62_9096_6756.png,урожай,урожай
images_group_62_9096_6757.png,хлѣба,хлѣба
images_group_62_9096_6758.png,оказался,оказался
images_group_62_9096_6759.png,надо-,неудо-
images_group_62_9096_6760.png,влетворитель,влетворитель
images_group_62_9096_6761.png,"нымъ,","нымъ,"
images_group_62_9096_6762.png,на,на
images_group_62_9096_6763.png,затруденіе,затруденіи
images_group_62_9096_6765.png,для,для
images_group_62_9096_6766.png,обизначенія,обезпеченія
images_group_62_9096_6767.png,жителей,жителей
images_group_62_9096_6768.png,продовольствіемъ,"продовольствія,"
images_group_62_9096_6769.png,и,и
images_group_62_9096_6770.png,сѣменамъ,съменамъ
images_group_62_9096_6771.png,на носъ,на посъ
images_group_62_9096_6772.png,въ,въ
images_group_62_9096_6773.png,не,не
images_group_62_9096_6774.png,будетъ,будетъ
images_group_62_9096_6775.png,пото-,пото-
images_group_62_9096_6776.png,"му,","му,"
images_group_62_9096_6777.png,что,что
images_group_62_9096_6778.png,у,у
images_group_62_9096_6779.png,многихъ,многихъ
images_group_62_9096_6780.png,"обывателей,","обывателей,"
images_group_62_9096_6781.png,въ,въ
images_group_62_9096_6782.png,особен-,особен-
images_group_62_9096_6783.png,ности,ности
images_group_62_9096_6784.png,въ,въ
images_group_62_9096_6786.png,"округѣ,",округъ
images_group_62_9096_6788.png,достаточныя,достаточныя
images_group_62_9096_6789.png,запасы,запасы
images_group_62_9096_6790.png,"хлѣба,","хлѣба,"
images_group_62_9096_6791.png,отъ,отъ
images_group_62_9096_6793.png,нихъ,нихъ
images_group_62_9096_6795.png,Если,Если
images_group_62_9096_6796.png,въ,въ
images_group_62_9096_6797.png,какихъ,какихъ
images_group_62_9096_6798.png,либо,либо
images_group_62_9096_6800.png,настяхъ,настяхъ
images_group_62_9096_6803.png,незначительный,незначительный
images_group_62_9096_6804.png,недоститковъ,недостатокъ
images_group_62_9096_6805.png,въ,въ
images_group_62_9096_6807.png,то,то
images_group_62_9096_6808.png,нужды,нужды
images_group_62_9096_6809.png,свои,свои
images_group_62_9096_6810.png,дейтели,деятели
images_group_62_9096_6811.png,могутъ,могутъ
images_group_62_9096_6812.png,удовлестворить,удовлетворить
